0,0,B,69973
0,0,C,55482
0,0,F,20497
0,0,H,433
0,0,L,616
0,0,M,134
0,0,O,13
0,0,P,20
0,0,S,14060
0,0,T,1111
0,0,V,363
0,0,X,19989
0,1,B,36521
0,1,C,9899
0,1,F,16411
0,1,H,284
0,1,L,192
0,1,M,30
0,1,O,3
0,1,P,12
0,1,S,11721
0,1,T,929
0,1,V,4
0,1,X,15735
0,2,B,21481
0,2,C,1686
0,2,F,9231
0,2,H,204
0,2,L,10
0,2,M,2
0,2,O,1
0,2,P,7
0,2,S,6336
0,2,T,594
0,2,X,8799
1,0,B,23606
1,0,C,16070
1,0,F,11223
1,0,H,136
1,0,L,93
1,0,M,18
1,0,O,3
1,0,P,1
1,0,S,7104
1,0,T,646
1,0,V,377
1,0,X,10907
1,1,B,24407
1,1,C,7864
1,1,F,14479
1,1,H,205
1,1,L,95
1,1,M,19
1,1,O,2
1,1,S,9329
1,1,T,810
1,1,V,8
1,1,X,14321
1,2,B,25874
1,2,C,2722
1,2,F,15088
1,2,H,282
1,2,L,15
1,2,M,2
1,2,P,5
1,2,S,9698
1,2,T,859
1,2,V,2
1,2,X,14514
1,3,X,1
2,0,B,7213
2,0,C,6089
2,0,F,3943
2,0,H,49
2,0,L,19
2,0,M,3
2,0,S,2093
2,0,T,202
2,0,V,425
2,0,X,3906
2,1,B,10754
2,1,C,4608
2,1,F,8028
2,1,H,82
2,1,L,48
2,1,M,5
2,1,S,4673
2,1,T,410
2,1,V,11
2,1,X,8087
2,2,B,17029
2,2,C,2690
2,2,F,14574
2,2,H,242
2,2,L,4
2,2,S,8275
2,2,T,786
2,2,V,3
2,2,X,14512
3,0,B,2360
3,0,C,4047
3,0,F,295
3,0,H,8
3,0,S,103
3,0,T,9
3,0,V,453
3,0,X,356
3,1,B,4143
3,1,C,2701
3,1,F,3340
3,1,H,23
3,1,L,13
3,1,M,1
3,1,O,1
3,1,S,1478
3,1,T,170
3,1,V,21
3,1,X,3290
3,2,B,7825
3,2,C,2044
3,2,F,9872
3,2,H,97
3,2,L,1
3,2,S,4324
3,2,T,471
3,2,V,3
3,2,X,9923
4,2,B,1
4,2,C,1
